IdArticulo,NombreLista,Motivo
271,Pallet,Producto no encontrado en Odoo
1529,Pallet,Producto no encontrado en Odoo
1530,Pallet,Producto no encontrado en Odoo
2821,Pallet,Producto no encontrado en Odoo
4294,Pallet,Producto no encontrado en Odoo
5213,Pallet,Producto no encontrado en Odoo
00,Consumidor Final X,Producto no encontrado en Odoo
04,Consumidor Final X,Producto no encontrado en Odoo
08,Consumidor Final X,Producto no encontrado en Odoo
014,Consumidor Final X,Producto no encontrado en Odoo
051,Consumidor Final X,Producto no encontrado en Odoo
114,Consumidor Final X,Producto no encontrado en Odoo
137,Consumidor Final X,Producto no encontrado en Odoo
150,Consumidor Final X,Producto no encontrado en Odoo
151,Consumidor Final X,Producto no encontrado en Odoo
154,Consumidor Final X,Producto no encontrado en Odoo
155,Consumidor Final X,Producto no encontrado en Odoo
159,Consumidor Final X,Producto no encontrado en Odoo
164,Consumidor Final X,Producto no encontrado en Odoo
166,Consumidor Final X,Producto no encontrado en Odoo
168,Consumidor Final X,Producto no encontrado en Odoo
169,Consumidor Final X,Producto no encontrado en Odoo
181,Consumidor Final X,Producto no encontrado en Odoo
191,Consumidor Final X,Producto no encontrado en Odoo
193,Consumidor Final X,Producto no encontrado en Odoo
194,Consumidor Final X,Producto no encontrado en Odoo
210,Consumidor Final X,Producto no encontrado en Odoo
249,Consumidor Final X,Producto no encontrado en Odoo
250,Consumidor Final X,Producto no encontrado en Odoo
260,Consumidor Final X,Producto no encontrado en Odoo
266,Consumidor Final X,Producto no encontrado en Odoo
267,Consumidor Final X,Producto no encontrado en Odoo
271,Consumidor Final X,Producto no encontrado en Odoo
283,Consumidor Final X,Producto no encontrado en Odoo
285,Consumidor Final X,Producto no encontrado en Odoo
330,Consumidor Final X,Producto no encontrado en Odoo
337,Consumidor Final X,Producto no encontrado en Odoo
338,Consumidor Final X,Producto no encontrado en Odoo
353,Consumidor Final X,Producto no encontrado en Odoo
355,Consumidor Final X,Producto no encontrado en Odoo
356,Consumidor Final X,Producto no encontrado en Odoo
357,Consumidor Final X,Producto no encontrado en Odoo
358,Consumidor Final X,Producto no encontrado en Odoo
359,Consumidor Final X,Producto no encontrado en Odoo
360,Consumidor Final X,Producto no encontrado en Odoo
361,Consumidor Final X,Producto no encontrado en Odoo
363,Consumidor Final X,Producto no encontrado en Odoo
364,Consumidor Final X,Producto no encontrado en Odoo
366,Consumidor Final X,Producto no encontrado en Odoo
367,Consumidor Final X,Producto no encontrado en Odoo
426,Consumidor Final X,Producto no encontrado en Odoo
427,Consumidor Final X,Producto no encontrado en Odoo
430,Consumidor Final X,Producto no encontrado en Odoo
444,Consumidor Final X,Producto no encontrado en Odoo
445,Consumidor Final X,Producto no encontrado en Odoo
501,Consumidor Final X,Producto no encontrado en Odoo
511,Consumidor Final X,Producto no encontrado en Odoo
512,Consumidor Final X,Producto no encontrado en Odoo
514,Consumidor Final X,Producto no encontrado en Odoo
540,Consumidor Final X,Producto no encontrado en Odoo
544,Consumidor Final X,Producto no encontrado en Odoo
560,Consumidor Final X,Producto no encontrado en Odoo
561,Consumidor Final X,Producto no encontrado en Odoo
563,Consumidor Final X,Producto no encontrado en Odoo
576,Consumidor Final X,Producto no encontrado en Odoo
580,Consumidor Final X,Producto no encontrado en Odoo
584,Consumidor Final X,Producto no encontrado en Odoo
585,Consumidor Final X,Producto no encontrado en Odoo
586,Consumidor Final X,Producto no encontrado en Odoo
590,Consumidor Final X,Producto no encontrado en Odoo
593,Consumidor Final X,Producto no encontrado en Odoo
597,Consumidor Final X,Producto no encontrado en Odoo
