IdArticulo,Lista,Motivo
3,ESPECIAL,Producto no encontrado
4,ESPECIAL,Producto no encontrado
5,ESPECIAL,Producto no encontrado
6,ESPECIAL,Producto no encontrado
7,ESPECIAL,Producto no encontrado
8,ESPECIAL,Producto no encontrado
9,ESPECIAL,Producto no encontrado
00,ESPECIAL,Producto no encontrado
01,ESPECIAL,Producto no encontrado
02,ESPECIAL,Producto no encontrado
04,ESPECIAL,Producto no encontrado
05,ESPECIAL,Producto no encontrado
06,ESPECIAL,Producto no encontrado
07,ESPECIAL,Producto no encontrado
09,ESPECIAL,Producto no encontrado
10,ESPECIAL,Producto no encontrado
11,ESPECIAL,Producto no encontrado
12,ESPECIAL,Producto no encontrado
13,ESPECIAL,Producto no encontrado
14,ESPECIAL,Producto no encontrado
15,ESPECIAL,Producto no encontrado
16,ESPECIAL,Producto no encontrado
39,ESPECIAL,Producto no encontrado
43,ESPECIAL,Producto no encontrado
51,ESPECIAL,Producto no encontrado
52,ESPECIAL,Producto no encontrado
53,ESPECIAL,Producto no encontrado
54,ESPECIAL,Producto no encontrado
55,ESPECIAL,Producto no encontrado
56,ESPECIAL,Producto no encontrado
60,ESPECIAL,Producto no encontrado
61,ESPECIAL,Producto no encontrado
62,ESPECIAL,Producto no encontrado
63,ESPECIAL,Producto no encontrado
65,ESPECIAL,Producto no encontrado
66,ESPECIAL,Producto no encontrado
67,ESPECIAL,Producto no encontrado
68,ESPECIAL,Producto no encontrado
69,ESPECIAL,Producto no encontrado
70,ESPECIAL,Producto no encontrado
71,ESPECIAL,Producto no encontrado
72,ESPECIAL,Producto no encontrado
73,ESPECIAL,Producto no encontrado
74,ESPECIAL,Producto no encontrado
77,ESPECIAL,Producto no encontrado
78,ESPECIAL,Producto no encontrado
79,ESPECIAL,Producto no encontrado
80,ESPECIAL,Producto no encontrado
81,ESPECIAL,Producto no encontrado
82,ESPECIAL,Producto no encontrado
83,ESPECIAL,Producto no encontrado
84,ESPECIAL,Producto no encontrado
85,ESPECIAL,Producto no encontrado
86,ESPECIAL,Producto no encontrado
87,ESPECIAL,Producto no encontrado
88,ESPECIAL,Producto no encontrado
89,ESPECIAL,Producto no encontrado
90,ESPECIAL,Producto no encontrado
91,ESPECIAL,Producto no encontrado
92,ESPECIAL,Producto no encontrado
93,ESPECIAL,Producto no encontrado
94,ESPECIAL,Producto no encontrado
95,ESPECIAL,Producto no encontrado
96,ESPECIAL,Producto no encontrado
97,ESPECIAL,Producto no encontrado
99,ESPECIAL,Producto no encontrado
000,ESPECIAL,Producto no encontrado
004,ESPECIAL,Producto no encontrado
005,ESPECIAL,Producto no encontrado
006,ESPECIAL,Producto no encontrado
007,ESPECIAL,Producto no encontrado
008,ESPECIAL,Producto no encontrado
009,ESPECIAL,Producto no encontrado
010,ESPECIAL,Producto no encontrado
011,ESPECIAL,Producto no encontrado
012,ESPECIAL,Producto no encontrado
013,ESPECIAL,Producto no encontrado
014,ESPECIAL,Producto no encontrado
015,ESPECIAL,Producto no encontrado
016,ESPECIAL,Producto no encontrado
017,ESPECIAL,Producto no encontrado
018,ESPECIAL,Producto no encontrado
019,ESPECIAL,Producto no encontrado
020,ESPECIAL,Producto no encontrado
021,ESPECIAL,Producto no encontrado
022,ESPECIAL,Producto no encontrado
023,ESPECIAL,Producto no encontrado
024,ESPECIAL,Producto no encontrado
025,ESPECIAL,Producto no encontrado
026,ESPECIAL,Producto no encontrado
027,ESPECIAL,Producto no encontrado
028,ESPECIAL,Producto no encontrado
030,ESPECIAL,Producto no encontrado
031,ESPECIAL,Producto no encontrado
032,ESPECIAL,Producto no encontrado
033,ESPECIAL,Producto no encontrado
034,ESPECIAL,Producto no encontrado
035,ESPECIAL,Producto no encontrado
036,ESPECIAL,Producto no encontrado
037,ESPECIAL,Producto no encontrado
038,ESPECIAL,Producto no encontrado
039,ESPECIAL,Producto no encontrado
040,ESPECIAL,Producto no encontrado
041,ESPECIAL,Producto no encontrado
042,ESPECIAL,Producto no encontrado
043,ESPECIAL,Producto no encontrado
044,ESPECIAL,Producto no encontrado
045,ESPECIAL,Producto no encontrado
046,ESPECIAL,Producto no encontrado
047,ESPECIAL,Producto no encontrado
049,ESPECIAL,Producto no encontrado
050,ESPECIAL,Producto no encontrado
